States/UT,General education courses - Arts - Total - 2008-09,General education courses - Arts - Total - 2009-10,General education courses - Arts - Total - 2010-11,General education courses - Arts - Women - 2008-09,General education courses - Arts - Women - 2009-10,General education courses - Arts - Women - 2010-11,General education courses - Science - Total - 2008-09,General education courses - Science - Total - 2009-10,General education courses - Science - Total - 2010-11,General education courses - Science - Women - 2008-09,General education courses - Science - Women - 2009-10,General education courses - Science - Women - 2010-11,General education courses - Commerce - Total - 2008-09,General education courses - Commerce - Total - 2009-10,General education courses - Commerce - Total - 2010-11,General education courses - Commerce - Women - 2008-09,General education courses - Commerce - Women - 2009-10,General education courses - Commerce - Women - 2010-11,General education courses - TOTAL - Total - 2008-09,General education courses - TOTAL - Total - 2009-10,General education courses - TOTAL - Total - 2010-11,General education courses - TOTAL - Women - 2008-09,General education courses - TOTAL - Women - 2009-10,General education courses - TOTAL - Women - 2010-11,Professional education courses - Education - Total - 2008-09,Professional education courses - Education - Total - 2009-10,Professional education courses - Education - Total - 2010-11,Professional education courses - Education - Women - 2008-09,Professional education courses - Education - Women - 2009-10,Professional education courses - Education - Women - 2010-11,"Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2010-11","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2010-11",Professional education courses - Medicine - Total - 2008-09,Professional education courses - Medicine - Total - 2009-10,Professional education courses - Medicine - Total - 2010-11,Professional education courses - Medicine - Women - 2008-09,Professional education courses - Medicine - Women - 2009-10,Professional education courses - Medicine - Women - 2010-11,Professional education courses - Agriculture - Total - 2008-09,Professional education courses - Agriculture - Total - 2009-10,Professional education courses - Agriculture - Total - 2010-11,Professional education courses - Agriculture - Women - 2008-09,Professional education courses - Agriculture - Women - 2009-10,Professional education courses - Agriculture - Women - 2010-11,Professional education courses - Law - Total - 2008-09,Professional education courses - Law - Total - 2009-10,Professional education courses - Law - Total - 2010-11,Professional education courses - Law - Women - 2008-09,Professional education courses - Law - Women - 2009-10,Professional education courses - Law - Women - 2010-11,Professional education courses - Others - Total - 2008-09,Professional education courses - Others - Total - 2009-10,Professional education courses - Others - Total - 2010-11,Professional education courses - Others - Women - 2008-09,Professional education courses - Others - Women - 2009-10,Professional education courses - Others - Women - 2010-11,Professional education courses - Total - Total - 2008-09,Professional education courses - Total - Total - 2009-10,Professional education courses - Total - Total - 2010-11,Professional education courses - Total - Women - 2008-09,Professional education courses - Total - Women - 2009-10,Professional education courses - Total - Women - 2010-11
Jharkhand,102851,102860,NA,37603,37609,NA,29952,29974,NA,9356,9364,NA,40372,40372,NA,10774,12878,NA,173175,263987,NA,57733,59851,NA,1409,1409,NA,940,940,NA,11772,11772,NA,2349,2349,NA,552,3671,NA,163,163,NA,398,398,NA,79,79,NA,1878,1878,NA,222,222,NA,2168,1970,NA,558,580,NA,18177,21098,NA,4311,4333,NA
Karnataka,161930,360702,NA,78606,174619,NA,50753,95618,NA,28902,51180,NA,90572,193486,NA,41818,88114,NA,303255,828302,NA,149326,313913,NA,9489,9489,NA,4902,4902,NA,181555,181830,NA,66093,71651,NA,69992,552,NA,32539,32539,NA,4636,4594,NA,1483,1696,NA,6968,9380,NA,1445,2226,NA,57816,6480,NA,25094,2903,NA,330456,212325,NA,131556,115917,NA
Kerala,89217,82050,NA,60311,52158,NA,71904,76890,NA,52187,55827,NA,38863,40309,NA,22014,23168,NA,199984,692070,NA,134512,131153,NA,3541,3544,NA,3046,3159,NA,98792,101274,NA,33709,34592,NA,18360,69992,NA,12440,12440,NA,987,987,NA,453,453,NA,3309,3309,NA,1880,1880,NA,4304,4454,NA,2177,2330,NA,129293,183560,NA,53705,54854,NA
Madhya Pradesh,327908,345734,NA,169247,159593,NA,33954,307385,NA,61092,129394,NA,122583,186475,NA,52249,82995,NA,484445,665681,NA,282588,371982,NA,15648,15648,NA,7889,6135,NA,5045,50315,NA,11458,12323,NA,3575,18360,NA,670,7477,NA,3301,2303,NA,682,574,NA,22697,18986,NA,5180,4529,NA,8299,58693,NA,2383,20955,NA,58565,164305,NA,28262,51993,NA
Maharashtra,667811,636929,NA,329584,345299,NA,314112,294885,NA,111523,98247,NA,408153,553689,NA,186690,89584,NA,1390076,946410,NA,627797,533130,NA,63489,63489,NA,33020,37810,NA,246032,280603,NA,58702,78560,NA,23814,16340,NA,7929,11063,NA,12671,12671,NA,3397,3397,NA,35166,38420,NA,14183,15622,NA,70271,74983,NA,27004,33972,NA,451443,486506,NA,144235,180424,NA
Manipur,13858,16375,NA,6402,7424,NA,10060,11339,NA,4295,4839,NA,1348,896,NA,1136,299,NA,25266,32161,NA,11833,12562,NA,854,854,NA,515,544,NA,395,494,NA,130,150,NA,170,28732,NA,68,69,NA,679,74,NA,266,29,NA,521,414,NA,189,145,NA,256,284,NA,104,135,NA,2875,30852,NA,1272,1072,NA
Meghalaya,26868,22638,NA,15776,12678,NA,3791,2605,NA,1792,1290,NA,2618,1531,NA,827,628,NA,33277,39017,NA,18395,14596,NA,926,926,NA,420,471,NA,397,519,NA,91,116,NA,94,171,NA,85,159,NA,0,0,NA,0,0,NA,1417,905,NA,611,417,NA,698,365,NA,308,197,NA,3532,2886,NA,1515,1360,NA
Mizoram,6685,8180,NA,3299,3858,NA,1823,1147,NA,583,427,NA,431,395,NA,189,162,NA,8939,64877,NA,4071,4447,NA,211,201,NA,155,165,NA,32,76,NA,12,26,NA,373,176,NA,298,140,NA,236,245,NA,97,100,NA,198,271,NA,77,94,NA,622,606,NA,407,446,NA,1672,1575,NA,1046,971,NA
Nagaland,19256,23512,NA,9242,11751,NA,1787,2227,NA,694,1023,NA,3047,3049,NA,1102,1000,NA,24090,135797,NA,11038,13774,NA,277,277,NA,160,98,NA,0,0,NA,0,0,NA,0,207,NA,0,0,NA,241,56,NA,107,24,NA,368,412,NA,126,132,NA,1681,2602,NA,826,12373,NA,2567,3554,NA,1219,12627,NA
Odisha,130524,138005,NA,36384,38153,NA,45171,54778,NA,10120,12370,NA,34270,34573,NA,4946,5027,NA,209965,369403,NA,51450,55550,NA,812,812,NA,331,345,NA,51231,113767,NA,6832,21975,NA,10587,27430,NA,3566,17505,NA,693,693,NA,290,290,NA,5319,8414,NA,893,2267,NA,38324,36706,NA,12421,6832,NA,106966,187822,NA,24333,49214,NA
Punjab,133766,31036,NA,79216,78673,NA,31521,27222,NA,21396,20401,NA,22860,23093,NA,11477,10984,NA,188147,60362,NA,112089,110058,NA,6019,6019,NA,4529,1975,NA,53879,54001,NA,11587,14310,NA,10663,11530,NA,7352,7424,NA,1331,1286,NA,430,396,NA,504,1389,NA,158,451,NA,4817,19985,NA,1857,6832,NA,77213,94210,NA,25913,31388,NA
Rajasthan,274857,295193,NA,119021,127389,NA,62160,64010,NA,28599,27565,NA,54953,65298,NA,19141,21666,NA,391970,661749,NA,166761,176620,NA,46994,46994,NA,22668,22668,NA,602,96007,NA,11638,17339,NA,13633,13633,NA,4057,4057,NA,3425,3602,NA,592,693,NA,9346,7280,NA,2194,1750,NA,13266,13427,NA,5192,5313,NA,87266,180943,NA,46341,51820,NA
Sikkim,4008,2841,NA,2233,1647,NA,786,730,NA,313,270,NA,503,412,NA,209,187,NA,5297,14835,NA,2755,2104,NA,214,214,NA,124,136,NA,63688,2113,NA,474,706,NA,743,778,NA,299,358,NA,0,0,NA,0,0,NA,393,391,NA,184,197,NA,257,427,NA,81,180,NA,65295,3923,NA,1162,1577,NA
Tamil Nadu,250420,274961,NA,118706,138791,NA,296889,308103,NA,157896,156254,NA,135061,145716,NA,66852,7501,NA,682370,1456085,NA,343454,302546,NA,22034,22034,NA,13837,43749,NA,1993,196983,NA,71787,63706,NA,44180,44180,NA,25221,25221,NA,874,1179,NA,492,688,NA,8836,8836,NA,2657,2657,NA,63337,67515,NA,28094,30000,NA,141254,340727,NA,142088,166021,NA
Tripura,22963,21454,NA,10894,10123,NA,2875,2814,NA,1085,1011,NA,1523,1476,NA,114,130,NA,27361,261769,NA,12093,11264,NA,377,277,NA,173,217,NA,208583,2481,NA,405,541,NA,427,513,NA,144,177,NA,134,163,NA,49,67,NA,598,557,NA,239,229,NA,1123,777,NA,459,290,NA,211242,4768,NA,1469,1521,NA
Uttar Pradesh,1304169,1508377,NA,573781,672829,NA,344184,324401,NA,110459,127288,NA,201685,211890,NA,80810,72904,NA,1850038,2225563,NA,765050,873021,NA,73256,73256,NA,19448,19418,NA,1689,96071,NA,12119,34942,NA,11751,11751,NA,3509,3509,NA,24400,22322,NA,1611,1343,NA,49117,46956,NA,8067,9939,NA,36477,24215,NA,13091,6633,NA,196690,274571,NA,57845,75784,NA
Uttrakhand,73299,323581,NA,46658,208268,NA,21717,27681,NA,11045,16935,NA,23467,28573,NA,9350,12298,NA,118483,351262,NA,67053,237501,NA,2198,2198,NA,1440,1443,NA,62158,6530,NA,567,867,NA,1811,1881,NA,432,432,NA,466,346,NA,45,0,NA,838,1494,NA,188,279,NA,2542,2668,NA,862,927,NA,70013,15117,NA,3534,3948,NA
West Bengal,603575,630818,NA,293191,302834,NA,113996,147339,NA,44573,65462,NA,92135,10829,NA,22894,24489,NA,809706,778157,NA,360658,392785,NA,9186,9186,NA,3775,3948,NA,54968,62940,NA,11425,14480,NA,13679,13535,NA,4191,4249,NA,21917,21896,NA,2415,2416,NA,6904,7124,NA,2996,3050,NA,12704,18162,NA,4252,63320,NA,119358,132843,NA,29054,91463,NA
Andaman and Nicobar Islands,1967,1934,NA,1143,1101,NA,375,355,NA,223,210,NA,495,455,NA,213,213,NA,2837,2917,NA,1579,1524,NA,216,216,NA,174,174,NA,0,97,NA,0,34,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,106,319,NA,54,221,NA,322,632,NA,228,429,NA
Chandigarh,26378,13533,NA,12604,6423,NA,8261,6583,NA,5615,4527,NA,10510,6570,NA,5518,4114,NA,45149,20386,NA,23737,15064,NA,2408,2408,NA,1894,635,NA,5037,2655,NA,1113,582,NA,1013,525,NA,652,356,NA,0,0,NA,0,0,NA,2115,2114,NA,751,954,NA,2192,2268,NA,1302,1409,NA,12765,9970,NA,5712,3936,NA
Dadra and Nagar Haveli,165,165,NA,86,86,NA,532,532,NA,223,223,NA,717,717,NA,319,319,NA,1414,192541,NA,628,628,NA,46,46,NA,13,13,NA,0,0,NA,0,0,NA,188,188,NA,101,101,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,187,255,NA,41,58,NA,421,489,NA,155,172,NA
Daman and Diu,228,256,NA,147,153,NA,48,74,NA,25,38,NA,146,219,NA,60,79,NA,422,554,NA,232,270,NA,160,160,NA,142,142,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,160,160,NA,142,142,NA
Delhi,50726,221181,NA,28421,123436,NA,46163,45681,NA,15558,15031,NA,61358,121602,NA,10632,53377,NA,158247,278984,NA,54611,191844,NA,1662,1662,NA,684,4011,NA,14459,22087,NA,2519,3988,NA,4758,6487,NA,2377,3316,NA,1219,1281,NA,292,296,NA,6727,5564,NA,1841,1695,NA,9825,30203,NA,3209,15271,NA,38650,67284,NA,10922,28577,NA
Lakshadweep,156,86,NA,116,69,NA,65,127,NA,37,89,NA,110,104,NA,59,66,NA,331,6508596,NA,212,224,NA,0,NA,NA,0,43,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,43,43,NA,43,30,NA,43,43,NA,43,73,NA
Puducherry,14303,14303,NA,8308,8308,NA,3772,3772,NA,2470,2470,NA,2092,2092,NA,1344,1344,NA,20167,18075,NA,12122,12122,NA,42,4632,NA,3102,3102,NA,9762,9762,NA,3156,3156,NA,2892,2892,NA,2037,2037,NA,201,194,NA,71,71,NA,561,561,NA,156,156,NA,587,587,NA,182,182,NA,14045,18628,NA,8704,8704,NA
